l14, 134.858, 469.535, 606.25
l14, 469.535, 559.793,1250
l14, 559.793, 611.386, 404.167
l14, 611.386, 1541.64,1250
l14, 1541.64, 1873.96, 86.6071
l14, 1873.96, 2068.96, 93.2692
l14, 2068.96, 3536.88, 101.042
l14, 3536.88, 3676.76, 110.227
l14, 3676.76, 3826.76, 121.25
l14, 3826.76, 3842.41, 134.722
l14, 3842.41, 4042.41, 151.563
l14, 4042.41, 4072.41, 173.214
l14, 4072.41, 4082.28, 202.083
l14, 4082.28, 4108.3, 242.5
l14, 4108.3, 4132.3, 303.125
l14, 4132.3, 4176.8, 404.167
l14, 4176.8, 4196.8, 606.25
l14, 4196.8, 4199.1, 1212.5
l14, 4199.1, 16009.4,1250
l13, 1519.67, 5135.64, 34.4455
l13, 5135.64, 5201.08, 35.4527
l13, 5201.08, 9154.46, 36.5205
l13, 9154.46, 9611.36, 37.6547
l13, 9611.36, 9673.92, 38.8616
l13, 9673.92, 9705.85, 40.1483
l13, 9705.85, 9728.55, 69.2067
l13, 9728.55, 10083.5, 27.6835
l13, 10083.5, 10531.3, 29.3592
l13, 10531.3, 11747, 22.5655
l13, 11747, 12141.6, 30.6583
l13, 12141.6, 12167.7, 23.5898
l13, 12167.7, 12253.3, 32.0777
l13, 12253.3, 12535.4, 32.9494
l13, 12535.4, 12570.1, 33.8698
l13, 12570.1, 12842.2, 34.8432
l13, 12842.2, 12888.3, 35.8741
l13, 12888.3, 12971.4, 36.9678
l13, 12971.4, 13057.4, 38.1304
l13, 13057.4, 13226.1, 39.3684
l13, 13226.1, 13243, 40.6896
l13, 13243, 13388.4, 42.1024
l13, 13388.4, 13418.9, 43.617
l13, 13418.9, 13454.9, 79.1774
l13, 13454.9, 14601.6, 33.9329
l13, 14601.6, 14627.4, 36.3034
l13, 14627.4, 14843.1, 37.4239
l13, 14843.1, 15043.8, 38.6158
l13, 15043.8, 15056.2, 39.8862
l13, 15056.2, 15083.5, 41.2429
l13, 15083.5, 15108.2, 42.6952
l13, 15108.2, 15147.2, 44.2533
l13, 15147.2, 15208.2, 45.9297
l13, 15208.2, 15218.7, 47.7381
l13, 15218.7, 15226.1, 49.6852
l13, 15226.1, 15264.9, 51.8181
